run_name,cap,tau,hyst,bler_adapt,bler_base,delta,delta_pct,energy
m5_ctrl_cap96_tau4_hy1,96,4.0,1,0.04875,0.06875,0.020000000000000004,29.090909090909093,96.0
m5_ctrl_cap96_tau4_hy2,96,4.0,2,0.04875,0.06875,0.020000000000000004,29.090909090909093,96.0
m5_ctrl_cap96_tau4_hy4,96,4.0,4,0.04875,0.06875,0.020000000000000004,29.090909090909093,96.0
m5_ctrl_cap96_tau6_hy1,96,6.0,1,0.04875,0.06875,0.020000000000000004,29.090909090909093,96.0
m5_ctrl_cap96_tau6_hy2,96,6.0,2,0.04875,0.06875,0.020000000000000004,29.090909090909093,96.0
m5_ctrl_cap96_tau6_hy4,96,6.0,4,0.04875,0.06875,0.020000000000000004,29.090909090909093,96.0
m5_ctrl_cap96_tau8_hy1,96,8.0,1,0.04875,0.06875,0.020000000000000004,29.090909090909093,96.0
m5_ctrl_cap96_tau8_hy2,96,8.0,2,0.04875,0.06875,0.020000000000000004,29.090909090909093,96.0
m5_ctrl_cap96_tau8_hy4,96,8.0,4,0.04875,0.06875,0.020000000000000004,29.090909090909093,96.0
m5_ctrl_cap112_tau4_hy1,112,4.0,1,0.04875,0.06875,0.020000000000000004,29.090909090909093,112.0
m5_ctrl_cap112_tau4_hy2,112,4.0,2,0.04875,0.06875,0.020000000000000004,29.090909090909093,112.0
m5_ctrl_cap112_tau4_hy4,112,4.0,4,0.04875,0.06875,0.020000000000000004,29.090909090909093,112.0
m5_ctrl_cap112_tau6_hy1,112,6.0,1,0.04875,0.06875,0.020000000000000004,29.090909090909093,112.0
m5_ctrl_cap112_tau6_hy2,112,6.0,2,0.04875,0.06875,0.020000000000000004,29.090909090909093,112.0
m5_ctrl_cap112_tau6_hy4,112,6.0,4,0.04875,0.06875,0.020000000000000004,29.090909090909093,112.0
m5_ctrl_cap112_tau8_hy1,112,8.0,1,0.04875,0.06875,0.020000000000000004,29.090909090909093,112.0
m5_ctrl_cap112_tau8_hy2,112,8.0,2,0.04875,0.06875,0.020000000000000004,29.090909090909093,112.0
m5_ctrl_cap112_tau8_hy4,112,8.0,4,0.04875,0.06875,0.020000000000000004,29.090909090909093,112.0
m5_ctrl_cap128_tau4_hy1,128,4.0,1,0.04875,0.06875,0.020000000000000004,29.090909090909093,128.0
m5_ctrl_cap128_tau4_hy2,128,4.0,2,0.04875,0.06875,0.020000000000000004,29.090909090909093,128.0
m5_ctrl_cap128_tau4_hy4,128,4.0,4,0.04875,0.06875,0.020000000000000004,29.090909090909093,128.0
m5_ctrl_cap128_tau6_hy1,128,6.0,1,0.04875,0.06875,0.020000000000000004,29.090909090909093,128.0
m5_ctrl_cap128_tau6_hy2,128,6.0,2,0.04875,0.06875,0.020000000000000004,29.090909090909093,128.0
m5_ctrl_cap128_tau6_hy4,128,6.0,4,0.04875,0.06875,0.020000000000000004,29.090909090909093,128.0
m5_ctrl_cap128_tau8_hy1,128,8.0,1,0.04875,0.06875,0.020000000000000004,29.090909090909093,128.0
m5_ctrl_cap128_tau8_hy2,128,8.0,2,0.04875,0.06875,0.020000000000000004,29.090909090909093,128.0
m5_ctrl_cap128_tau8_hy4,128,8.0,4,0.04875,0.06875,0.020000000000000004,29.090909090909093,128.0
